symbol,direction,score,price,position_size,date,timestamp
PANW,SHORT,0.8787579720095436,193.57,650.0,2023-03-30,2025-03-20 03:38:53
AMAT,SHORT,0.8389102756918736,122.11,650.0,2023-03-30,2025-03-20 03:38:53
BAC,LONG,0.7806620998339214,28.3,550.0,2023-03-30,2025-03-20 03:38:53
AVGO,SHORT,0.7739532503508795,633.75,780.0,2023-03-30,2025-03-20 03:38:53
HON,LONG,0.7626626232904135,189.12,550.0,2023-03-30,2025-03-20 03:38:53
JPM,LONG,0.7533991566238916,128.75,550.0,2023-03-30,2025-03-20 03:38:53
COP,LONG,0.7440364876720427,99.25,550.0,2023-03-30,2025-03-20 03:38:53
C,LONG,0.716934225200691,46.07,550.0,2023-03-30,2025-03-20 03:38:53
HD,LONG,0.7072021845360404,285.36,594.64,2023-03-30,2025-03-20 03:38:53
GS,LONG,0.7057152228935641,321.14,550.0,2023-03-30,2025-03-20 03:38:53
CB,LONG,0.7016398882390803,193.42,550.0,2023-03-30,2025-03-20 03:38:53
WMT,SHORT,0.7,145.67,1116.1,2023-03-30,2025-03-20 03:38:53
NFLX,SHORT,0.7,338.43,780.0,2023-03-30,2025-03-20 03:38:53
TXN,SHORT,0.7,184.24,780.0,2023-03-30,2025-03-20 03:38:53
INTC,SHORT,0.7,32.09,780.0,2023-03-30,2025-03-20 03:38:53
UPS,SHORT,0.7,191.09,780.0,2023-03-30,2025-03-20 03:38:53
BSX,SHORT,0.7,49.6,900.66,2023-03-30,2025-03-20 03:38:53
SLB,LONG,0.698952649736659,48.74,500.0,2023-03-30,2025-03-20 03:38:53
CAT,LONG,0.6986713169055144,224.54,500.0,2023-03-30,2025-03-20 03:38:53
KO,SHORT,0.6950677784449134,61.85,1167.51,2023-03-30,2025-03-20 03:38:53
INTU,SHORT,0.6925889457004906,440.09,780.0,2023-03-30,2025-03-20 03:38:53
MCD,SHORT,0.6853890464704631,277.79,1106.45,2023-03-30,2025-03-20 03:38:53
ACN,SHORT,0.6820448234689818,282.66,780.0,2023-03-30,2025-03-20 03:38:53
CSCO,SHORT,0.6811825621918058,51.43,903.65,2023-03-30,2025-03-20 03:38:53
CRM,SHORT,0.6787120596304992,196.6,780.0,2023-03-30,2025-03-20 03:38:53
ADI,SHORT,0.6775963377972125,194.21,780.0,2023-03-30,2025-03-20 03:38:53
ELV,LONG,0.6767313205624661,458.92,500.0,2023-03-30,2025-03-20 03:38:53
VZ,SHORT,0.6753029896372067,38.66,1044.17,2023-03-30,2025-03-20 03:38:53
QCOM,SHORT,0.6751803768741835,127.4,780.0,2023-03-30,2025-03-20 03:38:53
AAPL,SHORT,0.6741710106577552,162.36,780.0,2023-03-30,2025-03-20 03:38:53
AMZN,SHORT,0.668238739772124,102.0,780.0,2023-03-30,2025-03-20 03:38:53
PM,LONG,0.66637223784415,96.62,500.0,2023-03-30,2025-03-20 03:38:53
PEP,SHORT,0.6652274099619064,180.83,1169.82,2023-03-30,2025-03-20 03:38:53
LRCX,SHORT,0.6627790497996566,531.36,780.0,2023-03-30,2025-03-20 03:38:53
AMGN,SHORT,0.6567659222310083,241.5,780.0,2023-03-30,2025-03-20 03:38:53
CI,LONG,0.6561677295008681,254.09,500.0,2023-03-30,2025-03-20 03:38:53
CME,SHORT,0.6545154768236414,188.93,780.0,2023-03-30,2025-03-20 03:38:53
ZTS,SHORT,0.6509971673866246,164.15,780.0,2023-03-30,2025-03-20 03:38:53
LLY,SHORT,0.6504262029600991,340.69,780.0,2023-03-30,2025-03-20 03:38:53
SYK,SHORT,0.6494932586254034,280.71,830.93,2023-03-30,2025-03-20 03:38:53
NEE,SHORT,0.6494032052907956,76.59,780.0,2023-03-30,2025-03-20 03:38:53
ADBE,SHORT,0.6477879160615194,381.9,780.0,2023-03-30,2025-03-20 03:38:53
MDLZ,SHORT,0.6446342652548165,69.58,928.38,2023-03-30,2025-03-20 03:38:53
CMCSA,SHORT,0.6430052301789975,37.15,780.0,2023-03-30,2025-03-20 03:38:53
PG,SHORT,0.642944663514277,147.45,1065.84,2023-03-30,2025-03-20 03:38:53
NVDA,SHORT,0.6419717740647322,273.83,780.0,2023-03-30,2025-03-20 03:38:53
MSFT,SHORT,0.6414347610048675,284.05,780.0,2023-03-30,2025-03-20 03:38:53
VRTX,SHORT,0.6375193742281134,312.16,780.0,2023-03-30,2025-03-20 03:38:53
ORCL,SHORT,0.6328652600531424,90.51,780.0,2023-03-30,2025-03-20 03:38:53
META,SHORT,0.6319954069334721,207.84,780.0,2023-03-30,2025-03-20 03:38:53
SO,SHORT,0.6306675175259362,69.06,780.0,2023-03-30,2025-03-20 03:38:53
ISRG,SHORT,0.6260866228584073,251.3,780.0,2023-03-30,2025-03-20 03:38:53
REGN,SHORT,0.6201294232538542,811.5,780.0,2023-03-30,2025-03-20 03:38:53
ABBV,SHORT,0.6080308418294915,157.92,895.17,2023-03-30,2025-03-20 03:38:53
TSLA,SHORT,0.602277376512608,195.28,780.0,2023-03-30,2025-03-20 03:38:53
MMC,SHORT,0.5996642762608384,164.88,650.0,2023-03-30,2025-03-20 03:38:53
AMD,SHORT,0.5948268352011702,97.88,650.0,2023-03-30,2025-03-20 03:38:53
COST,SHORT,0.5928477078641167,491.48,803.69,2023-03-30,2025-03-20 03:38:53
AXP,SHORT,0.587060291131598,162.41,650.0,2023-03-30,2025-03-20 03:38:53
BKNG,SHORT,0.5859503302706164,2609.76,650.0,2023-03-30,2025-03-20 03:38:53
TMO,SHORT,0.584607581010919,562.97,650.0,2023-03-30,2025-03-20 03:38:53
BMY,SHORT,0.5834524176515374,68.2,813.77,2023-03-30,2025-03-20 03:38:53
EQIX,SHORT,0.5805806981486565,702.01,650.0,2023-03-30,2025-03-20 03:38:53
MRK,SHORT,0.5738764598342099,105.92,650.0,2023-03-30,2025-03-20 03:38:53
GILD,SHORT,0.5661673500119699,81.45,650.0,2023-03-30,2025-03-20 03:38:53
DHR,SHORT,0.5619653381835576,249.8,650.0,2023-03-30,2025-03-20 03:38:53
TMUS,SHORT,0.5555834736897369,144.57,784.37,2023-03-30,2025-03-20 03:38:53
TJX,SHORT,0.5549584686560092,76.91,747.73,2023-03-30,2025-03-20 03:38:53
MA,SHORT,0.5537164657476736,359.26,650.0,2023-03-30,2025-03-20 03:38:53
GE,SHORT,0.5524671311351171,94.05,650.0,2023-03-30,2025-03-20 03:38:53
